Department,JobRole,OverTime,JobSatisfaction,EnvironmentSatisfaction,Age_Group,Tenure_Group,Total_Employees,Attrition_Count,Attrition_Rate_Pct,AVG_Salary,Avg_Commute,Avg_Years_With_Manager,Avg_Training_Hours
Human Resources,Human Resources,false,3,4,Under 30,0-2 New Hires,1,1,100.0,1555.0,22.0,0.0,2.0
Human Resources,Human Resources,false,3,2,30 to 50,3-5 Mid-Tenure,1,0,0.0,3600.0,2.0,4.0,2.0
Human Resources,Human Resources,true,2,2,30 to 50,3-5 Mid-Tenure,1,0,0.0,5021.0,5.0,2.0,2.0
Human Resources,Human Resources,false,2,3,30 to 50,3-5 Mid-Tenure,2,0,0.0,4286.5,8.5,3.0,3.0
Human Resources,Human Resources,false,3,3,Under 30,6+ Veterans,1,0,0.0,2942.0,25.0,7.0,3.0
Human Resources,Human Resources,false,3,1,30 to 50,0-2 New Hires,2,1,50.0,4363.5,5.0,2.0,0.5
Human Resources,Human Resources,true,1,2,30 to 50,3-5 Mid-Tenure,1,1,100.0,9950.0,23.0,2.0,2.0
Human Resources,Human Resources,false,4,1,Under 30,0-2 New Hires,2,1,50.0,2354.5,6.0,0.5,2.5
Human Resources,Human Resources,false,2,3,30 to 50,6+ Veterans,3,0,0.0,4983.33,7.3,7.0,4.0
Human Resources,Human Resources,false,4,2,30 to 50,6+ Veterans,2,0,0.0,3712.5,2.0,8.0,3.5
Human Resources,Human Resources,false,1,2,Under 30,6+ Veterans,1,0,0.0,7988.0,17.0,9.0,3.0
Human Resources,Human Resources,true,1,3,30 to 50,3-5 Mid-Tenure,1,1,100.0,2073.0,6.0,2.0,3.0
Human Resources,Human Resources,true,1,1,Under 30,0-2 New Hires,1,1,100.0,2335.0,13.0,0.0,3.0
Human Resources,Human Resources,true,4,3,30 to 50,0-2 New Hires,1,0,0.0,3195.0,1.0,2.0,2.0
Human Resources,Manager,true,4,4,Over 50,3-5 Mid-Tenure,1,0,0.0,17328.0,26.0,4.0,3.0
Human Resources,Manager,false,2,1,30 to 50,6+ Veterans,1,0,0.0,18200.0,3.0,7.0,2.0
Human Resources,Manager,true,4,3,30 to 50,6+ Veterans,1,0,0.0,16437.0,6.0,7.0,2.0
Human Resources,Manager,false,3,4,30 to 50,3-5 Mid-Tenure,1,0,0.0,19658.0,26.0,0.0,2.0
Human Resources,Manager,false,2,4,Over 50,6+ Veterans,1,0,0.0,19717.0,8.0,7.0,4.0
Human Resources,Manager,false,3,4,30 to 50,6+ Veterans,1,0,0.0,19189.0,1.0,10.0,3.0
Human Resources,Manager,false,1,3,30 to 50,6+ Veterans,1,0,0.0,16799.0,10.0,9.0,5.0
Human Resources,Manager,false,4,3,Over 50,3-5 Mid-Tenure,1,0,0.0,18844.0,2.0,2.0,3.0
Human Resources,Manager,true,2,3,Over 50,6+ Veterans,2,0,0.0,16831.0,15.5,7.0,1.0
Human Resources,Manager,false,4,2,30 to 50,6+ Veterans,1,0,0.0,19141.0,10.0,6.0,2.0
Research & Development,Healthcare Representative,false,1,3,30 to 50,0-2 New Hires,1,0,0.0,9985.0,7.0,0.0,1.0
Research & Development,Healthcare Representative,false,2,4,30 to 50,6+ Veterans,3,1,33.33,8717.67,15.3,5.7,2.7
Research & Development,Healthcare Representative,true,1,4,30 to 50,6+ Veterans,1,0,0.0,8321.0,10.0,7.0,1.0
Research & Development,Healthcare Representative,false,3,2,Under 30,3-5 Mid-Tenure,1,0,0.0,4617.0,1.0,2.0,2.0
Research & Development,Healthcare Representative,false,1,4,30 to 50,6+ Veterans,2,0,0.0,7667.0,3.5,8.0,4.0
Research & Development,Healthcare Representative,true,3,4,30 to 50,6+ Veterans,1,0,0.0,7632.0,16.0,0.0,2.0
Research & Development,Healthcare Representative,true,1,3,30 to 50,3-5 Mid-Tenure,1,0,0.0,9884.0,11.0,3.0,3.0
Research & Development,Healthcare Representative,true,3,1,30 to 50,6+ Veterans,1,0,0.0,6811.0,2.0,7.0,3.0
Research & Development,Healthcare Representative,false,1,1,Under 30,3-5 Mid-Tenure,1,0,0.0,5373.0,1.0,2.0,5.0
Research & Development,Healthcare Representative,false,4,3,Over 50,6+ Veterans,1,0,0.0,11103.0,9.0,1.0,1.0
Research & Development,Healthcare Representative,false,4,3,Over 50,0-2 New Hires,1,0,0.0,10883.0,1.0,0.0,2.0
Research & Development,Healthcare Representative,false,3,3,30 to 50,6+ Veterans,9,0,0.0,8578.11,12.0,7.2,2.9
Research & Development,Healthcare Representative,false,3,1,30 to 50,6+ Veterans,2,0,0.0,8071.5,18.0,10.0,2.0
Research & Development,Healthcare Representative,true,4,4,30 to 50,6+ Veterans,3,0,0.0,6664.33,11.7,7.0,2.3
Research & Development,Healthcare Representative,false,4,2,30 to 50,3-5 Mid-Tenure,1,0,0.0,6949.0,1.0,4.0,3.0
Research & Development,Healthcare Representative,true,1,2,30 to 50,6+ Veterans,1,0,0.0,10851.0,20.0,7.0,2.0
Research & Development,Healthcare Representative,false,1,4,Under 30,6+ Veterans,1,0,0.0,6811.0,7.0,7.0,2.0
Research & Development,Healthcare Representative,true,3,3,30 to 50,6+ Veterans,4,0,0.0,11001.75,12.5,5.5,2.5
Research & Development,Healthcare Representative,true,4,2,30 to 50,0-2 New Hires,1,0,0.0,5811.0,18.0,0.0,2.0
Research & Development,Healthcare Representative,false,1,2,30 to 50,3-5 Mid-Tenure,1,0,0.0,8008.0,5.0,2.0,6.0
Research & Development,Healthcare Representative,false,2,1,30 to 50,6+ Veterans,1,0,0.0,7441.0,1.0,7.0,4.0
Research & Development,Healthcare Representative,false,4,1,30 to 50,0-2 New Hires,1,0,0.0,6781.0,2.0,0.0,6.0
Research & Development,Healthcare Representative,true,2,3,Over 50,6+ Veterans,2,0,0.0,8468.5,11.5,5.5,3.0
Research & Development,Healthcare Representative,true,1,1,Under 30,3-5 Mid-Tenure,1,0,0.0,4741.0,11.0,3.0,3.0
Research & Development,Healthcare Representative,true,2,4,Over 50,6+ Veterans,1,0,0.0,13577.0,8.0,0.0,3.0
Research & Development,Healthcare Representative,false,1,1,Over 50,6+ Veterans,1,0,0.0,7484.0,1.0,8.0,1.0
Research & Development,Healthcare Representative,true,4,3,Under 30,6+ Veterans,2,1,50.0,7088.0,10.5,3.5,1.5
Research & Development,Healthcare Representative,false,1,2,30 to 50,6+ Veterans,1,0,0.0,4448.0,12.0,7.0,3.0
Research & Development,Healthcare Representative,true,3,3,30 to 50,3-5 Mid-Tenure,1,0,0.0,4522.0,8.0,2.0,3.0
Research & Development,Healthcare Representative,false,4,3,30 to 50,0-2 New Hires,1,0,0.0,5163.0,2.0,0.0,2.0
Research & Development,Healthcare Representative,true,4,3,Over 50,3-5 Mid-Tenure,1,0,0.0,9439.0,24.0,4.0,2.0
Research & Development,Healthcare Representative,false,4,2,30 to 50,6+ Veterans,2,0,0.0,6603.5,12.0,8.0,3.0
Research & Development,Healthcare Representative,true,4,4,30 to 50,3-5 Mid-Tenure,1,0,0.0,6465.0,10.0,3.0,5.0
Research & Development,Healthcare Representative,false,3,1,30 to 50,3-5 Mid-Tenure,2,0,0.0,5999.0,15.5,2.0,1.0
Research & Development,Healthcare Representative,false,1,4,30 to 50,0-2 New Hires,1,0,0.0,5093.0,2.0,0.0,2.0
Research & Development,Healthcare Representative,false,2,4,30 to 50,3-5 Mid-Tenure,2,0,0.0,5020.0,3.5,2.0,2.5
Research & Development,Healthcare Representative,true,3,4,30 to 50,0-2 New Hires,1,0,0.0,6388.0,8.0,0.0,6.0
Research & Development,Healthcare Representative,false,4,4,30 to 50,3-5 Mid-Tenure,4,0,0.0,7013.25,6.3,2.3,2.8
Research & Development,Healthcare Representative,false,4,4,30 to 50,6+ Veterans,2,0,0.0,6511.5,18.5,5.0,2.0
Research & Development,Healthcare Representative,false,3,2,30 to 50,6+ Veterans,1,0,0.0,6377.0,2.0,8.0,0.0
Research & Development,Healthcare Representative,false,1,3,Under 30,6+ Veterans,1,0,0.0,9715.0,8.0,7.0,3.0
Research & Development,Healthcare Representative,true,2,3,30 to 50,6+ Veterans,1,0,0.0,5488.0,1.0,2.0,2.0
Research & Development,Healthcare Representative,false,3,3,Over 50,6+ Veterans,1,0,0.0,6306.0,1.0,9.0,2.0
Research & Development,Healthcare Representative,false,4,4,Over 50,6+ Veterans,1,1,100.0,10312.0,23.0,6.0,3.0
Research & Development,Healthcare Representative,false,2,3,30 to 50,0-2 New Hires,1,0,0.0,6540.0,9.0,0.0,5.0
Research & Development,Healthcare Representative,false,4,1,Under 30,6+ Veterans,1,0,0.0,8853.0,2.0,3.0,0.0
Research & Development,Healthcare Representative,false,3,4,Under 30,6+ Veterans,1,0,0.0,6384.0,29.0,6.0,3.0
Research & Development,Healthcare Representative,false,2,2,30 to 50,3-5 Mid-Tenure,1,0,0.0,6870.0,5.0,2.0,3.0
Research & Development,Healthcare Representative,false,4,3,30 to 50,6+ Veterans,6,0,0.0,6332.83,6.3,6.3,3.0
Research & Development,Healthcare Representative,false,4,2,Over 50,3-5 Mid-Tenure,1,0,0.0,7005.0,24.0,2.0,2.0
Research & Development,Healthcare Representative,false,1,2,30 to 50,0-2 New Hires,2,0,0.0,5285.5,7.0,1.0,3.5
Research & Development,Healthcare Representative,true,4,3,30 to 50,6+ Veterans,3,0,0.0,9320.33,12.0,9.3,2.0
Research & Development,Healthcare Representative,true,3,2,30 to 50,6+ Veterans,1,0,0.0,11245.0,20.0,13.0,3.0
Research & Development,Healthcare Representative,false,1,3,30 to 50,6+ Veterans,1,0,0.0,6812.0,24.0,8.0,2.0
Research & Development,Healthcare Representative,true,4,2,30 to 50,6+ Veterans,1,0,0.0,4878.0,15.0,1.0,6.0
Research & Development,Healthcare Representative,false,2,4,Over 50,6+ Veterans,1,0,0.0,13734.0,3.0,0.0,6.0
Research & Development,Healthcare Representative,false,3,4,Over 50,3-5 Mid-Tenure,1,0,0.0,6755.0,1.0,2.0,2.0
Research & Development,Healthcare Representative,false,2,1,30 to 50,0-2 New Hires,1,1,100.0,4777.0,11.0,0.0,2.0
Research & Development,Healthcare Representative,false,4,1,30 to 50,6+ Veterans,5,2,40.0,9694.6,9.4,6.4,3.4
Research & Development,Healthcare Representative,true,1,2,30 to 50,0-2 New Hires,1,1,100.0,6673.0,29.0,0.0,2.0
Research & Development,Healthcare Representative,true,4,4,30 to 50,0-2 New Hires,1,0,0.0,4069.0,8.0,2.0,2.0
Research & Development,Healthcare Representative,true,3,4,Over 50,3-5 Mid-Tenure,2,0,0.0,4847.5,2.5,2.0,2.0
Research & Development,Healthcare Representative,false,3,4,30 to 50,6+ Veterans,4,0,0.0,5669.5,7.3,8.0,2.3
Research & Development,Healthcare Representative,false,3,2,Under 30,6+ Veterans,1,0,0.0,4335.0,27.0,1.0,3.0
Research & Development,Healthcare Representative,false,1,1,30 to 50,3-5 Mid-Tenure,1,0,0.0,6288.0,12.0,2.0,3.0
Research & Development,Healthcare Representative,false,2,3,30 to 50,6+ Veterans,4,0,0.0,8443.75,5.8,8.5,2.8
Research & Development,Healthcare Representative,false,2,2,Over 50,6+ Veterans,1,0,0.0,10445.0,7.0,0.0,4.0
Research & Development,Healthcare Representative,false,3,2,30 to 50,3-5 Mid-Tenure,3,0,0.0,7502.0,5.3,2.0,2.3
Research & Development,Healthcare Representative,false,3,3,30 to 50,0-2 New Hires,1,0,0.0,9824.0,10.0,0.0,4.0
Research & Development,Healthcare Representative,false,3,1,30 to 50,0-2 New Hires,3,1,33.33,8197.0,14.7,1.3,1.7
Research & Development,Healthcare Representative,true,3,4,Under 30,3-5 Mid-Tenure,1,0,0.0,6294.0,1.0,2.0,5.0
Research & Development,Healthcare Representative,false,1,4,30 to 50,3-5 Mid-Tenure,2,0,0.0,8119.0,2.0,3.5,3.0
Research & Development,Healthcare Representative,true,3,1,30 to 50,3-5 Mid-Tenure,1,0,0.0,6142.0,10.0,4.0,4.0
Research & Development,Healthcare Representative,true,1,3,30 to 50,6+ Veterans,2,0,0.0,8753.0,6.0,3.0,3.5
Research & Development,Healthcare Representative,false,1,2,Under 30,6+ Veterans,3,1,33.33,6127.67,15.0,7.0,2.0
Research & Development,Healthcare Representative,false,4,4,30 to 50,0-2 New Hires,1,0,0.0,5745.0,23.0,2.0,2.0
Research & Development,Healthcare Representative,false,4,3,30 to 50,3-5 Mid-Tenure,2,0,0.0,6590.0,8.0,2.5,4.5
Research & Development,Laboratory Technician,false,2,2,30 to 50,3-5 Mid-Tenure,5,1,20.0,2482.2,9.6,2.8,3.6
Research & Development,Laboratory Technician,false,4,3,30 to 50,3-5 Mid-Tenure,2,0,0.0,2334.0,13.0,3.5,3.0
Research & Development,Laboratory Technician,true,3,4,Under 30,6+ Veterans,1,0,0.0,4193.0,15.0,8.0,3.0
Research & Development,Laboratory Technician,false,2,3,Under 30,0-2 New Hires,2,0,0.0,2752.5,12.5,1.0,3.0
Research & Development,Laboratory Technician,false,3,2,30 to 50,0-2 New Hires,4,0,0.0,2413.5,4.3,0.0,2.8
Research & Development,Laboratory Technician,true,3,3,Under 30,3-5 Mid-Tenure,1,1,100.0,2028.0,24.0,3.0,4.0
Research & Development,Laboratory Technician,true,4,2,30 to 50,0-2 New Hires,2,1,50.0,4244.0,7.0,1.0,3.0
Research & Development,Laboratory Technician,false,1,1,30 to 50,6+ Veterans,2,1,50.0,3958.5,4.5,9.0,2.5
Research & Development,Laboratory Technician,false,2,2,30 to 50,6+ Veterans,4,0,0.0,3618.75,14.0,9.5,4.0
Research & Development,Laboratory Technician,false,2,3,30 to 50,0-2 New Hires,2,0,0.0,3792.0,7.5,1.0,2.5
Research & Development,Laboratory Technician,false,1,3,Under 30,0-2 New Hires,3,2,66.67,2091.0,11.0,0.0,3.7
Research & Development,Laboratory Technician,false,1,1,30 to 50,3-5 Mid-Tenure,3,3,100.0,3615.33,13.3,3.0,2.7
Research & Development,Laboratory Technician,false,2,4,30 to 50,0-2 New Hires,2,1,50.0,1976.0,2.0,0.0,3.0
Research & Development,Laboratory Technician,false,3,2,Over 50,6+ Veterans,1,0,0.0,2838.0,6.0,7.0,6.0
Research & Development,Laboratory Technician,false,1,1,Under 30,0-2 New Hires,2,2,100.0,3502.0,3.5,1.0,3.5
Research & Development,Laboratory Technician,true,1,1,30 to 50,3-5 Mid-Tenure,2,1,50.0,3864.0,6.5,2.5,3.0
Research & Development,Laboratory Technician,false,4,2,30 to 50,0-2 New Hires,3,0,0.0,3323.67,18.0,0.7,2.7
Research & Development,Laboratory Technician,true,1,3,Over 50,0-2 New Hires,1,0,0.0,2670.0,3.0,0.0,3.0
Research & Development,Laboratory Technician,true,3,1,30 to 50,0-2 New Hires,1,1,100.0,5381.0,1.0,0.0,2.0
Research & Development,Laboratory Technician,false,2,4,Under 30,0-2 New Hires,2,1,50.0,2168.5,17.0,0.0,2.5
Research & Development,Laboratory Technician,true,4,3,Under 30,3-5 Mid-Tenure,1,0,0.0,2659.0,6.0,2.0,2.0
Research & Development,Laboratory Technician,false,4,2,Under 30,3-5 Mid-Tenure,1,0,0.0,3983.0,9.0,2.0,2.0
Research & Development,Laboratory Technician,false,4,3,Over 50,0-2 New Hires,1,0,0.0,3212.0,2.0,2.0,3.0
Research & Development,Laboratory Technician,true,3,4,Under 30,3-5 Mid-Tenure,2,1,50.0,3071.5,4.5,2.0,2.0
Research & Development,Laboratory Technician,false,1,4,Under 30,3-5 Mid-Tenure,1,0,0.0,2062.0,7.0,2.0,2.0
Research & Development,Laboratory Technician,false,4,4,Over 50,3-5 Mid-Tenure,1,0,0.0,2075.0,9.0,3.0,4.0
Research & Development,Laboratory Technician,true,1,3,30 to 50,0-2 New Hires,1,0,0.0,4014.0,23.0,2.0,3.0
Research & Development,Laboratory Technician,false,4,3,Under 30,6+ Veterans,2,0,0.0,4609.0,3.5,6.0,4.5
Research & Development,Laboratory Technician,true,4,4,Under 30,6+ Veterans,1,1,100.0,3691.0,4.0,6.0,3.0
Research & Development,Laboratory Technician,false,3,3,30 to 50,6+ Veterans,8,0,0.0,3538.38,6.3,6.1,3.4
Research & Development,Laboratory Technician,false,2,1,30 to 50,6+ Veterans,1,0,0.0,7403.0,8.0,7.0,3.0
Research & Development,Laboratory Technician,true,1,4,30 to 50,0-2 New Hires,2,1,50.0,2495.5,11.0,2.0,2.0
Research & Development,Laboratory Technician,false,4,2,Under 30,6+ Veterans,1,0,0.0,3131.0,6.0,8.0,5.0
Research & Development,Laboratory Technician,true,2,3,30 to 50,3-5 Mid-Tenure,1,1,100.0,3743.0,14.0,2.0,2.0
Research & Development,Laboratory Technician,true,1,4,30 to 50,6+ Veterans,3,0,0.0,3649.0,10.3,11.0,3.0
Research & Development,Laboratory Technician,false,4,4,30 to 50,0-2 New Hires,2,0,0.0,2322.5,6.0,1.5,2.0
Research & Development,Laboratory Technician,false,2,1,30 to 50,3-5 Mid-Tenure,4,0,0.0,2771.75,9.0,2.5,4.3
Research & Development,Laboratory Technician,false,4,3,30 to 50,0-2 New Hires,5,0,0.0,2622.6,8.0,0.4,3.2
Research & Development,Laboratory Technician,false,4,3,Under 30,3-5 Mid-Tenure,1,1,100.0,2367.0,17.0,3.0,2.0
Research & Development,Laboratory Technician,true,4,4,Under 30,3-5 Mid-Tenure,1,0,0.0,2379.0,5.0,2.0,3.0
Research & Development,Laboratory Technician,false,1,4,Under 30,6+ Veterans,2,0,0.0,3631.0,19.0,5.0,2.5
Research & Development,Laboratory Technician,true,2,4,Under 30,3-5 Mid-Tenure,1,0,0.0,4025.0,13.0,3.0,2.0
Research & Development,Laboratory Technician,false,3,3,30 to 50,3-5 Mid-Tenure,3,0,0.0,3028.0,2.3,2.3,2.7
Research & Development,Laboratory Technician,false,3,1,Under 30,3-5 Mid-Tenure,3,0,0.0,3033.33,14.3,2.0,3.7
Research & Development,Laboratory Technician,false,4,4,30 to 50,3-5 Mid-Tenure,3,0,0.0,2280.67,7.7,2.0,1.7
Research & Development,Laboratory Technician,true,1,2,Under 30,6+ Veterans,2,1,50.0,3421.0,5.5,6.0,3.5
Research & Development,Laboratory Technician,false,2,1,Under 30,0-2 New Hires,2,1,50.0,3032.0,1.5,1.0,2.5
Research & Development,Laboratory Technician,false,1,2,Under 30,6+ Veterans,1,0,0.0,3907.0,29.0,2.0,2.0
Research & Development,Laboratory Technician,false,1,3,30 to 50,3-5 Mid-Tenure,5,0,0.0,3229.0,6.6,3.0,3.0
Research & Development,Laboratory Technician,true,1,3,30 to 50,6+ Veterans,1,0,0.0,5769.0,5.0,4.0,3.0
Research & Development,Laboratory Technician,true,4,4,Under 30,0-2 New Hires,3,1,33.33,3242.67,8.0,0.7,3.0
Research & Development,Laboratory Technician,false,3,1,Under 30,0-2 New Hires,5,4,80.0,2762.6,12.2,1.0,2.2
Research & Development,Laboratory Technician,false,4,3,Under 30,0-2 New Hires,1,0,0.0,2523.0,2.0,1.0,2.0
Research & Development,Laboratory Technician,false,3,3,30 to 50,0-2 New Hires,2,1,50.0,1945.5,9.0,1.0,4.0
Research & Development,Laboratory Technician,false,4,1,Over 50,3-5 Mid-Tenure,1,1,100.0,2587.0,24.0,0.0,3.0
Research & Development,Laboratory Technician,false,3,4,Over 50,3-5 Mid-Tenure,1,0,0.0,3149.0,11.0,4.0,3.0
Research & Development,Laboratory Technician,false,4,1,Under 30,3-5 Mid-Tenure,3,0,0.0,2974.33,4.0,3.0,3.0
Research & Development,Laboratory Technician,true,4,3,30 to 50,3-5 Mid-Tenure,2,1,50.0,3833.5,8.5,3.5,1.5
Research & Development,Laboratory Technician,true,3,2,Under 30,6+ Veterans,1,1,100.0,3339.0,7.0,7.0,2.0
Research & Development,Laboratory Technician,false,4,4,Under 30,0-2 New Hires,1,0,0.0,1611.0,1.0,0.0,5.0
Research & Development,Laboratory Technician,false,1,3,Over 50,3-5 Mid-Tenure,1,0,0.0,2950.0,8.0,4.0,2.0
Research & Development,Laboratory Technician,false,3,4,30 to 50,6+ Veterans,5,1,20.0,3939.0,11.4,5.4,2.8
Research & Development,Laboratory Technician,true,4,4,30 to 50,0-2 New Hires,2,0,0.0,1415.5,2.0,0.0,3.5
Research & Development,Laboratory Technician,false,3,1,30 to 50,0-2 New Hires,3,1,33.33,4635.33,11.7,0.7,3.0
Research & Development,Laboratory Technician,false,4,4,30 to 50,6+ Veterans,5,0,0.0,3992.4,9.0,6.6,2.2
Research & Development,Laboratory Technician,false,1,4,30 to 50,3-5 Mid-Tenure,3,1,33.33,2228.67,3.7,1.3,3.0
Research & Development,Laboratory Technician,true,4,1,30 to 50,3-5 Mid-Tenure,1,0,0.0,2818.0,8.0,2.0,2.0
Research & Development,Laboratory Technician,false,4,4,Under 30,3-5 Mid-Tenure,2,0,0.0,3158.0,15.5,3.0,6.0
Research & Development,Laboratory Technician,true,4,3,Under 30,0-2 New Hires,2,2,100.0,2427.5,18.0,0.0,3.5
Research & Development,Laboratory Technician,false,3,2,Under 30,3-5 Mid-Tenure,1,0,0.0,2774.0,18.0,2.0,2.0
Research & Development,Laboratory Technician,false,2,2,Under 30,0-2 New Hires,1,0,0.0,1483.0,3.0,0.0,3.0
Research & Development,Laboratory Technician,false,4,2,Under 30,0-2 New Hires,2,1,50.0,1986.5,8.5,0.0,4.0
Research & Development,Laboratory Technician,false,4,1,30 to 50,6+ Veterans,4,0,0.0,4854.75,10.8,7.5,3.3
Research & Development,Laboratory Technician,false,4,1,Under 30,0-2 New Hires,1,0,0.0,4364.0,1.0,0.0,2.0
Research & Development,Laboratory Technician,true,2,3,Under 30,0-2 New Hires,1,1,100.0,2408.0,24.0,0.0,3.0
Research & Development,Laboratory Technician,false,4,4,Under 30,6+ Veterans,2,0,0.0,3191.0,13.5,8.5,4.0
Research & Development,Laboratory Technician,true,3,4,30 to 50,6+ Veterans,3,0,0.0,3704.33,15.7,7.3,3.0
Research & Development,Laboratory Technician,true,3,4,30 to 50,3-5 Mid-Tenure,1,1,100.0,3730.0,1.0,2.0,2.0
Research & Development,Laboratory Technician,true,3,4,Under 30,0-2 New Hires,1,0,0.0,3977.0,2.0,2.0,2.0
Research & Development,Laboratory Technician,false,3,4,30 to 50,0-2 New Hires,4,0,0.0,3450.0,9.3,0.5,3.0
Research & Development,Laboratory Technician,false,4,1,30 to 50,3-5 Mid-Tenure,2,1,50.0,3544.5,17.5,2.5,2.5
Research & Development,Laboratory Technician,true,4,4,30 to 50,6+ Veterans,2,0,0.0,5799.0,1.0,4.0,1.5
Research & Development,Laboratory Technician,false,2,4,Under 30,3-5 Mid-Tenure,3,0,0.0,3531.0,9.0,2.7,2.3
Research & Development,Laboratory Technician,false,3,3,Under 30,0-2 New Hires,3,3,100.0,2406.0,5.0,0.7,1.7
Research & Development,Laboratory Technician,false,3,1,30 to 50,3-5 Mid-Tenure,2,0,0.0,3668.5,17.5,3.0,5.5
Research & Development,Laboratory Technician,false,1,4,30 to 50,6+ Veterans,3,1,33.33,3518.67,8.3,9.3,3.3
Research & Development,Laboratory Technician,true,4,2,Over 50,6+ Veterans,1,0,0.0,5415.0,20.0,8.0,4.0
Research & Development,Laboratory Technician,false,3,4,Under 30,3-5 Mid-Tenure,2,0,0.0,2639.5,13.0,2.0,2.5
Research & Development,Laboratory Technician,false,1,3,30 to 50,6+ Veterans,3,1,33.33,3008.67,16.7,9.3,2.7
Research & Development,Laboratory Technician,true,4,3,30 to 50,6+ Veterans,1,0,0.0,2741.0,19.0,7.0,2.0
Research & Development,Laboratory Technician,false,3,4,30 to 50,3-5 Mid-Tenure,2,0,0.0,3966.0,14.0,3.5,2.5
Research & Development,Laboratory Technician,false,3,3,Over 50,0-2 New Hires,1,0,0.0,3780.0,8.0,0.0,3.0
Research & Development,Laboratory Technician,true,1,1,30 to 50,0-2 New Hires,2,2,100.0,2860.0,2.0,0.0,2.0
Research & Development,Laboratory Technician,false,2,4,30 to 50,3-5 Mid-Tenure,2,0,0.0,2867.0,1.5,2.5,2.5
Research & Development,Laboratory Technician,false,3,2,30 to 50,6+ Veterans,3,0,0.0,4344.33,25.7,5.7,2.0
Research & Development,Laboratory Technician,true,3,1,30 to 50,6+ Veterans,1,1,100.0,6074.0,7.0,6.0,3.0
Research & Development,Laboratory Technician,false,1,1,Under 30,3-5 Mid-Tenure,1,0,0.0,3955.0,1.0,3.0,2.0
Research & Development,Laboratory Technician,false,4,2,30 to 50,3-5 Mid-Tenure,2,0,0.0,3318.5,6.0,2.0,3.5
